Crash ID,State,Dayweek,Crash Type,Bus Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,Christmas Period,Easter Period,Age Group,Day of week,Time of day,DateTime,Year,Hour,Decade
20236023,Tas,Tuesday,Single,No,No,40,Motorcycle rider,Male,43,No,No,40_to_64,Weekday,Day,2023-09-01 16:00:00,2023,16,2020s
20235001,WA,Tuesday,Single,No,No,60,Passenger,Female,16,No,No,0_to_16,Weekday,Night,2023-09-01 21:39:00,2023,21,2020s
20234048,SA,Tuesday,Multiple,No,No,50,Motorcycle rider,Male,41,No,No,40_to_64,Weekday,Day,2023-09-01 15:25:00,2023,15,2020s
20236012,Tas,Friday,Single,No,No,110,Passenger,Male,70,No,No,65_to_74,Weekday,Day,2023-09-01 13:20:00,2023,13,2020s
20231179,NSW,Monday,Multiple,No,No,100,Driver,Male,67,No,No,65_to_74,Weekday,Day,2023-09-01 11:30:00,2023,11,2020s
20231204,NSW,Tuesday,Single,No,No,100,Motorcycle rider,Male,65,No,No,65_to_74,Weekday,Day,2023-09-01 11:00:00,2023,11,2020s
20233183,Qld,Friday,Multiple,No,No,60,Driver,Female,72,No,No,65_to_74,Weekday,Day,2023-09-01 06:00:00,2023,6,2020s
20234076,SA,Friday,Multiple,No,No,50,Driver,Male,73,No,No,65_to_74,Weekday,Day,2023-09-01 07:29:00,2023,7,2020s
20234024,SA,Monday,Single,No,No,60,Driver,Male,72,No,No,65_to_74,Weekday,Day,2023-09-01 12:19:00,2023,12,2020s
20234051,SA,Thursday,Multiple,No,Yes,110,Driver,Male,30,No,No,26_to_39,Weekday,Night,2023-09-01 00:27:00,2023,0,2020s
20233061,Qld,Tuesday,Multiple,No,No,70,Motorcycle rider,Male,71,No,No,65_to_74,Weekday,Day,2023-09-01 11:00:00,2023,11,2020s
20233072,Qld,Thursday,Single,No,No,110,Passenger,Male,39,No,No,26_to_39,Weekday,Night,2023-09-01 19:00:00,2023,19,2020s
20231195,NSW,Tuesday,Single,No,No,100,Passenger,Female,84,No,No,75_or_older,Weekday,Day,2023-09-01 11:30:00,2023,11,2020s
20233109,Qld,Monday,Multiple,No,No,60,Driver,Male,84,No,No,75_or_older,Weekday,Day,2023-09-01 15:00:00,2023,15,2020s
20233080,Qld,Friday,Multiple,No,No,110,Passenger,Female,81,No,No,75_or_older,Weekday,Day,2023-09-01 12:00:00,2023,12,2020s
20233215,Qld,Tuesday,Single,No,No,100,Motorcycle rider,Male,42,No,No,40_to_64,Weekday,Night,2023-09-01 21:00:00,2023,21,2020s
20231192,NSW,Wednesday,Multiple,No,Yes,70,Motorcycle rider,Male,51,No,No,40_to_64,Weekday,Night,2023-09-01 23:10:00,2023,23,2020s
20235083,WA,Tuesday,Single,No,No,70,Passenger,Female,86,No,No,75_or_older,Weekday,Day,2023-09-01 13:55:00,2023,13,2020s
20235023,WA,Wednesday,Single,No,No,70,Driver,Male,24,No,No,17_to_25,Weekday,Day,2023-09-01 17:10:00,2023,17,2020s
20231249,NSW,Monday,Multiple,No,Yes,110,Driver,Male,24,No,No,17_to_25,Weekday,Day,2023-09-01 15:34:00,2023,15,2020s
20231046,NSW,Saturday,Single,No,No,110,Pedestrian,Male,32,No,No,26_to_39,Weekend,Night,2023-09-01 01:18:00,2023,1,2020s
20231016,NSW,Thursday,Single,No,No,100,Driver,Male,70,No,No,65_to_74,Weekday,Night,2023-09-01 02:15:00,2023,2,2020s
20233021,Qld,Sunday,Single,No,No,60,Pedestrian,Male,12,No,No,0_to_16,Weekend,Day,2023-09-01 17:00:00,2023,17,2020s
20233115,Qld,Friday,Single,No,No,60,Pedestrian,Male,62,No,No,40_to_64,Weekday,Day,2023-09-01 13:00:00,2023,13,2020s
20234075,SA,Thursday,Single,No,No,10,Pedestrian,Male,73,No,No,65_to_74,Weekday,Day,2023-09-01 12:30:00,2023,12,2020s
20231182,NSW,Friday,Single,No,No,60,Pedestrian,Female,84,No,No,75_or_older,Weekday,Day,2023-09-01 09:00:00,2023,9,2020s
20231068,NSW,Wednesday,Single,No,No,50,Pedestrian,Male,85,No,No,75_or_older,Weekday,Day,2023-09-01 08:13:00,2023,8,2020s
20231205,NSW,Friday,Single,No,No,50,Pedestrian,Female,84,No,No,75_or_older,Weekday,Day,2023-09-01 16:55:00,2023,16,2020s
20231164,NSW,Monday,Single,No,No,100,Pedestrian,Male,80,No,No,75_or_older,Weekday,Night,2023-09-01 18:00:00,2023,18,2020s
20233191,Qld,Friday,Single,No,No,50,Driver,Male,19,No,No,17_to_25,Weekday,Night,2023-09-01 01:00:00,2023,1,2020s
20233068,Qld,Saturday,Single,No,No,70,Passenger,Male,23,No,No,17_to_25,Weekend,Night,2023-08-01 02:00:00,2023,2,2020s
